Age,Age.R,  Age (kyr),   Temperature (C) 
10593,-10593,10.593,-33.3263
10580,-10580,10.58,-33.2725
10565,-10565,10.565,-33.2541
10551,-10551,10.551,-33.1918
10537,-10537,10.537,-33.1569
10522,-10522,10.522,-33.0783
10509,-10509,10.509,-33.0171
10494,-10494,10.494,-32.9755
10481.4,-10481.4,10.4814,-32.9346
10468.3,-10468.3,10.4683,-32.8847
10468.3,-10468.3,10.4683,-32.9067
10452.8,-10452.8,10.4528,-32.8578
10439.9,-10439.9,10.4399,-32.8025
10439.9,-10439.9,10.4399,-32.83
10428,-10428,10.428,-32.7609
10414.1,-10414.1,10.4141,-32.6914
10401.6,-10401.6,10.4016,-32.6119
10389.7,-10389.7,10.3897,-32.5263
10364.3,-10364.3,10.3643,-32.3982
10350.2,-10350.2,10.3502,-32.2957
10336.3,-10336.3,10.3363,-32.2064
10323.8,-10323.8,10.3238,-32.1138
10313.2,-10313.2,10.3132,-32.0223
10300.1,-10300.1,10.3001,-31.9245
10288,-10288,10.288,-31.8275
10276.1,-10276.1,10.2761,-31.7171
10264.1,-10264.1,10.2641,-31.5973
10252.1,-10252.1,10.2521,-31.4752
10239.2,-10239.2,10.2392,-31.3544
10225.5,-10225.5,10.2255,-31.2422
10212.4,-10212.4,10.2124,-31.1572
10199.1,-10199.1,10.1991,-31.0648
10186.2,-10186.2,10.1862,-30.9667
10172.8,-10172.8,10.1728,-30.8749
10172.8,-10172.8,10.1728,-30.8982
10160.1,-10160.1,10.1601,-30.8129
10147.4,-10147.4,10.1474,-30.7434
10134.2,-10134.2,10.1342,-30.678
10122.5,-10122.5,10.1225,-30.6009
10111.3,-10111.3,10.1113,-30.5419
10099.5,-10099.5,10.0995,-30.5596
10075.9,-10075.9,10.0759,-30.4835
10064.4,-10064.4,10.0644,-30.415
10052.2,-10052.2,10.0522,-30.4174
10028.4,-10028.4,10.0284,-30.4391
10016.6,-10016.6,10.0166,-30.4963
9996.27,-9996.27,9.99627,-30.5627
9971.94,-9971.94,9.97194,-30.4844
9925.33,-9925.33,9.92533,-30.5437
9902.24,-9902.24,9.90224,-30.6752
9879.68,-9879.68,9.87968,-30.4648
9857.34,-9857.34,9.85734,-30.333
9833.91,-9833.91,9.83391,-30.422
9810.31,-9810.31,9.81031,-30.3196
9786.86,-9786.86,9.78686,-30.1003
9763.75,-9763.75,9.76375,-29.9541
9741.41,-9741.41,9.74141,-29.8489
9715.7,-9715.7,9.7157,-29.8865
9693.74,-9693.74,9.69374,-29.8596
9670.46,-9670.46,9.67046,-29.9141
9646.99,-9646.99,9.64699,-30.1771
9623.97,-9623.97,9.62397,-30.4966
9601.42,-9601.42,9.60142,-30.6119
9578.95,-9578.95,9.57895,-30.6242
9555.97,-9555.97,9.55597,-30.7177
9532.24,-9532.24,9.53224,-30.6086
9510.04,-9510.04,9.51004,-30.4691
9488.87,-9488.87,9.48887,-30.3853
9468.09,-9468.09,9.46809,-30.2707
9446.83,-9446.83,9.44683,-30.237
9425.57,-9425.57,9.42557,-30.1734
9407.56,-9407.56,9.40756,-30.0664
9386.43,-9386.43,9.38643,-30.0367
9365.93,-9365.93,9.36593,-29.9826
9345.54,-9345.54,9.34554,-29.9569
9323.18,-9323.18,9.32318,-29.9703
9302.11,-9302.11,9.30211,-30.0948
9281.42,-9281.42,9.28142,-30.2263
9259.62,-9259.62,9.25962,-30.1954
9238.01,-9238.01,9.23801,-30.2703
9217.99,-9217.99,9.21799,-30.2914
9198.88,-9198.88,9.19888,-30.1385
9198.88,-9198.88,9.19888,-30.1777
9177.55,-9177.55,9.17755,-30.1407
9158.42,-9158.42,9.15842,-30.0505
9139.06,-9139.06,9.13906,-29.9547
9120.35,-9120.35,9.12035,-29.9694
9100.9,-9100.9,9.1009,-29.8447
9082.01,-9082.01,9.08201,-29.5914
9061.15,-9061.15,9.06115,-29.4456
9041.03,-9041.03,9.04103,-29.5281
9020.86,-9020.86,9.02086,-29.6547
9000.81,-9000.81,9.00081,-29.6642
8980.44,-8980.44,8.98044,-29.6404
8961.34,-8961.34,8.96134,-29.6355
8941.96,-8941.96,8.94196,-29.5777
8923.4,-8923.4,8.9234,-29.4413
8903.58,-8903.58,8.90358,-29.3893
8883.49,-8883.49,8.88349,-29.4211
8862.39,-8862.39,8.86239,-29.5147
8842.33,-8842.33,8.84233,-29.6979
8821.89,-8821.89,8.82189,-29.8682
8803.22,-8803.22,8.80322,-29.8979
8785,-8785,8.785,-29.8242
8766.07,-8766.07,8.76607,-29.7985
8747.69,-8747.69,8.74769,-29.8171
8726.78,-8726.78,8.72678,-29.8419
8707.61,-8707.61,8.70761,-29.9208
8689.11,-8689.11,8.68911,-30.0722
8670.76,-8670.76,8.67076,-30.1621
8651.81,-8651.81,8.65181,-30.1391
8632.64,-8632.64,8.63264,-30.1798
8615.28,-8615.28,8.61528,-30.1719
8597.35,-8597.35,8.59735,-30.134
8577.52,-8577.52,8.57752,-30.2165
8558.35,-8558.35,8.55835,-30.3098
8538.61,-8538.61,8.53861,-30.3911
8519.41,-8519.41,8.51941,-30.4508
8499.25,-8499.25,8.49925,-30.4508
8480.08,-8480.08,8.48008,-30.381
8461,-8461,8.461,-30.3226
8442.56,-8442.56,8.44256,-30.389
8424.04,-8424.04,8.42404,-30.6043
8404.55,-8404.55,8.40455,-30.9511
8384.56,-8384.56,8.38456,-31.3673
8365.9,-8365.9,8.3659,-31.7431
8348.58,-8348.58,8.34858,-31.9529
8330.24,-8330.24,8.33024,-32.0107
8309.8,-8309.8,8.3098,-32.0798
8290.01,-8290.01,8.29001,-32.1624
8269.13,-8269.13,8.26913,-32.2388
8250.54,-8250.54,8.25054,-32.3196
8229.97,-8229.97,8.22997,-32.4
8210.54,-8210.54,8.21054,-32.4422
8190.02,-8190.02,8.19002,-32.2392
8171.05,-8171.05,8.17105,-31.8086
8153.16,-8153.16,8.15316,-31.3526
8136.41,-8136.41,8.13641,-30.8758
8119.11,-8119.11,8.11911,-30.7749
8100.59,-8100.59,8.10059,-30.5459
8083.12,-8083.12,8.08312,-30.5756
8064.42,-8064.42,8.06442,-30.4052
8046.27,-8046.27,8.04627,-30.2788
8029.02,-8029.02,8.02902,-30.0864
8011.54,-8011.54,8.01154,-29.9208
7993.18,-7993.18,7.99318,-29.6408
7974.62,-7974.62,7.97462,-29.2384
7957.05,-7957.05,7.95705,-29.1308
7939.1,-7939.1,7.9391,-29.1468
7921.31,-7921.31,7.92131,-29.162
7903.58,-7903.58,7.90358,-29.1612
7885.77,-7885.77,7.88577,-29.1064
7868.34,-7868.34,7.86834,-28.9236
7851.47,-7851.47,7.85147,-28.7472
7834.54,-7834.54,7.83454,-28.712
7817.32,-7817.32,7.81732,-28.702
7800.33,-7800.33,7.80033,-28.8588
7783.12,-7783.12,7.78312,-28.8632
7765.15,-7765.15,7.76515,-28.928
7746.95,-7746.95,7.74695,-29.1532
7730.63,-7730.63,7.73063,-29.1944
7713,-7713,7.713,-29.2832
7695.46,-7695.46,7.69546,-29.3396
7678.21,-7678.21,7.67821,-29.592
7659.86,-7659.86,7.65986,-29.9088
7642.67,-7642.67,7.64267,-30.0944
7625.59,-7625.59,7.62559,-30.2704
7608.89,-7608.89,7.60889,-30.2936
7592.48,-7592.48,7.59248,-30.2872
7574.75,-7574.75,7.57475,-30.1288
7556.58,-7556.58,7.55658,-30.0988
7539.59,-7539.59,7.53959,-30.2796
7522.2,-7522.2,7.5222,-30.308
7504.61,-7504.61,7.50461,-30.2656
7487.72,-7487.72,7.48772,-30.1256
7471.27,-7471.27,7.47127,-30.1188
7454.05,-7454.05,7.45405,-30.0108
7436.69,-7436.69,7.43669,-29.8072
7419.69,-7419.69,7.41969,-29.8564
7403.22,-7403.22,7.40322,-29.9776
7386.32,-7386.32,7.38632,-30.15
7369.07,-7369.07,7.36907,-30.2812
7351.3,-7351.3,7.3513,-30.472
7333.72,-7333.72,7.33372,-30.5724
7318,-7318,7.318,-30.5712
7299.9,-7299.9,7.2999,-30.6744
7282.23,-7282.23,7.28223,-30.78
7265.27,-7265.27,7.26527,-30.976
7247.15,-7247.15,7.24715,-31.1212
7230.45,-7230.45,7.23045,-31.2596
7213.19,-7213.19,7.21319,-31.42
7197.45,-7197.45,7.19745,-31.4364
7180.52,-7180.52,7.18052,-31.2808
7163.51,-7163.51,7.16351,-31.132
7145.8,-7145.8,7.1458,-31.1032
7125.35,-7125.35,7.12535,-30.9636
7112.32,-7112.32,7.11232,-30.9768
7095.19,-7095.19,7.09519,-30.9452
7077.94,-7077.94,7.07794,-30.6828
7060.31,-7060.31,7.06031,-30.474
7043.23,-7043.23,7.04323,-30.3196
7043.23,-7043.23,7.04323,-30.2892
7008.94,-7008.94,7.00894,-29.916
6991.52,-6991.52,6.99152,-29.4676
6974.97,-6974.97,6.97497,-29.1308
6974.97,-6974.97,6.97497,-29.1676
6958.35,-6958.35,6.95835,-29.0596
6942.31,-6942.31,6.94231,-28.9184
6925.52,-6925.52,6.92552,-28.8252
6909.89,-6909.89,6.90989,-28.9756
6893.93,-6893.93,6.89393,-28.9868
6877.12,-6877.12,6.87712,-28.9944
6860.83,-6860.83,6.86083,-29.226
6843.55,-6843.55,6.84355,-29.4084
6826.14,-6826.14,6.82614,-29.4184
6809.46,-6809.46,6.80946,-29.434
6792.28,-6792.28,6.79228,-29.6656
6776.29,-6776.29,6.77629,-29.9692
6759.23,-6759.23,6.75923,-30.124
6743.47,-6743.47,6.74347,-30.3368
6727.16,-6727.16,6.72716,-30.6172
6711.02,-6711.02,6.71102,-30.8472
6695.54,-6695.54,6.69554,-30.9736
6679.15,-6679.15,6.67915,-30.9364
6663.22,-6663.22,6.66322,-30.9104
6647.79,-6647.79,6.64779,-30.8988
6632.07,-6632.07,6.63207,-30.8152
6615.83,-6615.83,6.61583,-30.89
6600.5,-6600.5,6.6005,-31.0988
6585.25,-6585.25,6.58525,-31.0852
6569.5,-6569.5,6.5695,-30.9204
6553.45,-6553.45,6.55345,-30.9136
6538.22,-6538.22,6.53822,-30.9756
6521.76,-6521.76,6.52176,-30.8692
6505.69,-6505.69,6.50569,-30.7032
6489.84,-6489.84,6.48984,-30.5572
6469.42,-6469.42,6.46942,-30.5268
6454.1,-6454.1,6.4541,-30.6648
6441.71,-6441.71,6.44171,-30.786
6426.44,-6426.44,6.42644,-30.8764
6411.31,-6411.31,6.41131,-30.9712
6395.76,-6395.76,6.39576,-30.9984
6380.53,-6380.53,6.38053,-30.8852
6365.1,-6365.1,6.3651,-30.8764
6348.87,-6348.87,6.34887,-30.9292
6333.71,-6333.71,6.33371,-30.8388
6318.32,-6318.32,6.31832,-30.7548
6301.84,-6301.84,6.30184,-30.7268
6285.33,-6285.33,6.28533,-30.8376
6268.72,-6268.72,6.26872,-31.1204
6253.05,-6253.05,6.25305,-31.1336
6236.64,-6236.64,6.23664,-30.9564
6220.51,-6220.51,6.22051,-30.928
6205.87,-6205.87,6.20587,-30.8952
6191.86,-6191.86,6.19186,-30.8152
6176.14,-6176.14,6.17614,-30.6684
6160.34,-6160.34,6.16034,-30.648
6144.18,-6144.18,6.14418,-30.6424
6127.64,-6127.64,6.12764,-30.5828
6111.94,-6111.94,6.11194,-30.5184
6096.23,-6096.23,6.09623,-30.658
6080.86,-6080.86,6.08086,-30.766
6065.53,-6065.53,6.06553,-30.7188
6050.12,-6050.12,6.05012,-30.6112
6034.96,-6034.96,6.03496,-30.3616
6020.9,-6020.9,6.0209,-30.2136
6005.96,-6005.96,6.00596,-30.3084
5990.83,-5990.83,5.99083,-30.3368
5975.73,-5975.73,5.97573,-30.286
5960.34,-5960.34,5.96034,-30.2208
5945.35,-5945.35,5.94535,-30.308
5930.39,-5930.39,5.93039,-30.4052
5915.58,-5915.58,5.91558,-30.4428
5900.23,-5900.23,5.90023,-30.5388
5884.49,-5884.49,5.88449,-30.6264
5869.23,-5869.23,5.86923,-30.5912
5854.63,-5854.63,5.85463,-30.5316
5839,-5839,5.839,-30.4672
5822.53,-5822.53,5.82253,-30.5928
5807.73,-5807.73,5.80773,-30.702
5791.24,-5791.24,5.79124,-30.5328
5775.28,-5775.28,5.77528,-30.4208
5759.66,-5759.66,5.75966,-30.402
5743.86,-5743.86,5.74386,-30.4028
5727.68,-5727.68,5.72768,-30.34
5711.58,-5711.58,5.71158,-30.2144
5696.51,-5696.51,5.69651,-30.2084
5681.31,-5681.31,5.68131,-30.1428
5665.74,-5665.74,5.66574,-30.0268
5650.76,-5650.76,5.65076,-29.9324
5636.04,-5636.04,5.63604,-29.9068
5621.63,-5621.63,5.62163,-30.0264
5606.92,-5606.92,5.60692,-30.0888
5591.89,-5591.89,5.59189,-30.0256
5577.43,-5577.43,5.57743,-30.0928
5562.37,-5562.37,5.56237,-30.2972
5547.42,-5547.42,5.54742,-30.4972
5532.12,-5532.12,5.53212,-30.7296
5517.17,-5517.17,5.51717,-30.8612
5502.54,-5502.54,5.50254,-30.9024
5488.24,-5488.24,5.48824,-31.0236
5473.04,-5473.04,5.47304,-31.1188
5458.68,-5458.68,5.45868,-31.2252
5444.33,-5444.33,5.44433,-31.398
5431.01,-5431.01,5.43101,-31.5164
5417.21,-5417.21,5.41721,-31.5168
5402.91,-5402.91,5.40291,-31.4604
5389.14,-5389.14,5.38914,-31.49
5375,-5375,5.375,-31.4068
5360.25,-5360.25,5.36025,-31.2688
5345.5,-5345.5,5.3455,-30.9896
5327.44,-5327.44,5.32744,-30.656
5302.05,-5302.05,5.30205,-30.4916
5288.29,-5288.29,5.28829,-30.3996
5274.77,-5274.77,5.27477,-30.274
5260.47,-5260.47,5.26047,-30.1524
5246.23,-5246.23,5.24623,-30.1508
5231.62,-5231.62,5.23162,-30.1988
5217.73,-5217.73,5.21773,-30.0732
5217.73,-5217.73,5.21773,-30.1352
5203.57,-5203.57,5.20357,-29.9588
5189.44,-5189.44,5.18944,-30.0092
5175.77,-5175.77,5.17577,-29.9844
5161.82,-5161.82,5.16182,-29.972
5147.63,-5147.63,5.14763,-30.114
5134.25,-5134.25,5.13425,-30.1728
5120.67,-5120.67,5.12067,-30.3256
5106.08,-5106.08,5.10608,-30.3864
5092.19,-5092.19,5.09219,-30.2488
5079,-5079,5.079,-30.25
5065.91,-5065.91,5.06591,-30.3268
5051.63,-5051.63,5.05163,-30.3712
5037.89,-5037.89,5.03789,-30.1796
5023.75,-5023.75,5.02375,-29.9024
5009.9,-5009.9,5.0099,-29.9044
4996.37,-4996.37,4.99637,-30.0832
4983.65,-4983.65,4.98365,-30.2272
4970.54,-4970.54,4.97054,-30.24
4957.43,-4957.43,4.95743,-30.2396
4943.26,-4943.26,4.94326,-30.3604
4930.74,-4930.74,4.93074,-30.526
4917.32,-4917.32,4.91732,-30.6044
4904.08,-4904.08,4.90408,-30.7664
4891.2,-4891.2,4.8912,-30.8236
4878.31,-4878.31,4.87831,-30.888
4857.74,-4857.74,4.85774,-31.002
4851.13,-4851.13,4.85113,-31.0276
4835.94,-4835.94,4.83594,-31.0256
4824.09,-4824.09,4.82409,-31.1784
4811.47,-4811.47,4.81147,-31.6268
4798.21,-4798.21,4.79821,-31.9264
4784.46,-4784.46,4.78446,-31.9276
4771.06,-4771.06,4.77106,-31.9772
4759.2,-4759.2,4.7592,-32.0408
4744.97,-4744.97,4.74497,-31.99
4731.85,-4731.85,4.73185,-31.9392
4719.55,-4719.55,4.71955,-31.8592
4706.96,-4706.96,4.70696,-31.7636
4692.71,-4692.71,4.69271,-31.6804
4680.99,-4680.99,4.68099,-31.524
4667.28,-4667.28,4.66728,-31.492
4654.35,-4654.35,4.65435,-31.5604
4641.13,-4641.13,4.64113,-31.546
4628.65,-4628.65,4.62865,-31.6288
4615.38,-4615.38,4.61538,-31.7592
4602.61,-4602.61,4.60261,-31.5564
4588.79,-4588.79,4.58879,-31.262
4575.88,-4575.88,4.57588,-31.1792
4562.99,-4562.99,4.56299,-31.1496
4549.61,-4549.61,4.54961,-31.0936
4536.26,-4536.26,4.53626,-31.0408
4520.62,-4520.62,4.52062,-31.1728
4510.66,-4510.66,4.51066,-31.4524
4498.01,-4498.01,4.49801,-31.4992
4485.59,-4485.59,4.48559,-31.4972
4473.02,-4473.02,4.47302,-31.4716
4460.16,-4460.16,4.46016,-31.5024
4445.44,-4445.44,4.44544,-31.4752
4433.29,-4433.29,4.43329,-31.3324
4421.79,-4421.79,4.42179,-31.19
4409.16,-4409.16,4.40916,-31.0648
4395.9,-4395.9,4.3959,-31.026
4380.4,-4380.4,4.3804,-31.0964
4370.44,-4370.44,4.37044,-31.0528
4357.67,-4357.67,4.35767,-30.9476
4345.21,-4345.21,4.34521,-30.9116
4332.97,-4332.97,4.33297,-30.8104
4320.07,-4320.07,4.32007,-30.7604
4307.31,-4307.31,4.30731,-30.6972
4294.27,-4294.27,4.29427,-30.4428
4294.27,-4294.27,4.29427,-30.4512
4269.11,-4269.11,4.26911,-30.2252
4256.79,-4256.79,4.25679,-30.1116
4244.4,-4244.4,4.2444,-30.1632
4231.73,-4231.73,4.23173,-30.184
4219.28,-4219.28,4.21928,-30.2096
4207.52,-4207.52,4.20752,-30.3596
4195.07,-4195.07,4.19507,-30.4828
4182.43,-4182.43,4.18243,-30.4568
4168.17,-4168.17,4.16817,-30.3596
4156.14,-4156.14,4.15614,-30.2968
4143.78,-4143.78,4.14378,-30.3044
4130.1,-4130.1,4.1301,-30.3132
4117.8,-4117.8,4.1178,-30.3648
4103.32,-4103.32,4.10332,-30.4428
4092.09,-4092.09,4.09209,-30.5092
4079.96,-4079.96,4.07996,-30.6284
4067.09,-4067.09,4.06709,-30.6292
4054.4,-4054.4,4.0544,-30.7012
4041.61,-4041.61,4.04161,-30.9116
4029.42,-4029.42,4.02942,-30.9148
4016.89,-4016.89,4.01689,-30.9952
4016.89,-4016.89,4.01689,-30.914
3989.62,-3989.62,3.98962,-31.0708
3989.62,-3989.62,3.98962,-31.0932
3978.73,-3978.73,3.97873,-31.0604
3966.47,-3966.47,3.96647,-31.088
3953.67,-3953.67,3.95367,-31.1632
3941.72,-3941.72,3.94172,-31.2308
3929.05,-3929.05,3.92905,-31.2212
3916.43,-3916.43,3.91643,-31.1752
3904.87,-3904.87,3.90487,-31.1772
3888.3,-3888.3,3.8883,-31.156
3880.09,-3880.09,3.88009,-31.09
3867.21,-3867.21,3.86721,-31.0388
3855.57,-3855.57,3.85557,-31.046
3843.79,-3843.79,3.84379,-31.0768
3832.18,-3832.18,3.83218,-31.008
3817.44,-3817.44,3.81744,-30.85
3808.16,-3808.16,3.80816,-30.7912
3796.01,-3796.01,3.79601,-30.768
3784.02,-3784.02,3.78402,-30.5568
3772.06,-3772.06,3.77206,-30.5124
3759.66,-3759.66,3.75966,-30.3796
3747.26,-3747.26,3.74726,-30.2676
3736.11,-3736.11,3.73611,-30.2116
3725.29,-3725.29,3.72529,-30.2644
3713.43,-3713.43,3.71343,-30.3912
3701.28,-3701.28,3.70128,-30.476
3688.97,-3688.97,3.68897,-30.396
3676.9,-3676.9,3.6769,-30.2796
3665.17,-3665.17,3.66517,-30.1136
3651.83,-3651.83,3.65183,-29.9384
3636.24,-3636.24,3.63624,-29.896
3626.31,-3626.31,3.62631,-29.8404
3617.51,-3617.51,3.61751,-29.7988
3605.74,-3605.74,3.60574,-29.9812
3581.58,-3581.58,3.58158,-30.1548
3569.09,-3569.09,3.56909,-30.2572
3557.81,-3557.81,3.55781,-30.3464
3544.95,-3544.95,3.54495,-30.4848
3533.88,-3533.88,3.53388,-30.5792
3522.52,-3522.52,3.52252,-30.5624
3510.28,-3510.28,3.51028,-30.4036
3491.26,-3491.26,3.49126,-30.3076
3462.06,-3462.06,3.46206,-30.2792
3449.34,-3449.34,3.44934,-30.1524
3437.44,-3437.44,3.43744,-30.09
3425.56,-3425.56,3.42556,-30.104
3410.73,-3410.73,3.41073,-30.0736
3402.28,-3402.28,3.40228,-30.068
3390.53,-3390.53,3.39053,-30.042
3378.68,-3378.68,3.37868,-29.9108
3378.68,-3378.68,3.37868,-30.0028
3367.37,-3367.37,3.36737,-29.7116
3354.72,-3354.72,3.35472,-29.6492
3343.2,-3343.2,3.3432,-29.7272
3331.11,-3331.11,3.33111,-29.5372
3320.32,-3320.32,3.32032,-29.152
3308.47,-3308.47,3.30847,-28.8592
3297.07,-3297.07,3.29707,-28.748
3286.1,-3286.1,3.2861,-28.802
3274.39,-3274.39,3.27439,-28.912
3260.18,-3260.18,3.26018,-28.9916
3248.64,-3248.64,3.24864,-29.046
3237.71,-3237.71,3.23771,-29.1308
3227.61,-3227.61,3.22761,-29.27
3214.58,-3214.58,3.21458,-29.4428
3204.03,-3204.03,3.20403,-29.52
3193.2,-3193.2,3.1932,-29.5512
3181.11,-3181.11,3.18111,-29.6084
3169.81,-3169.81,3.16981,-29.6896
3158.23,-3158.23,3.15823,-29.8252
3145.54,-3145.54,3.14554,-29.982
3133.29,-3133.29,3.13329,-30.0836
3120.79,-3120.79,3.12079,-30.1508
3108.03,-3108.03,3.10803,-30.3016
3096.39,-3096.39,3.09639,-30.5932
3085.33,-3085.33,3.08533,-30.7972
3074.77,-3074.77,3.07477,-30.8804
3064.01,-3064.01,3.06401,-30.7688
3053.23,-3053.23,3.05323,-30.614
3042.36,-3042.36,3.04236,-30.7092
3042.36,-3042.36,3.04236,-30.6628
3031.62,-3031.62,3.03162,-30.682
3020.42,-3020.42,3.02042,-30.6904
3009.57,-3009.57,3.00957,-30.6812
2998.08,-2998.08,2.99808,-30.6104
2986.84,-2986.84,2.98684,-30.55
2976.28,-2976.28,2.97628,-30.5716
2965.84,-2965.84,2.96584,-30.584
2955.23,-2955.23,2.95523,-30.6136
2944.18,-2944.18,2.94418,-30.6144
2933.49,-2933.49,2.93349,-30.5792
2922.35,-2922.35,2.92235,-30.5196
2911.65,-2911.65,2.91165,-30.5196
2900.92,-2900.92,2.90092,-30.598
2889.76,-2889.76,2.88976,-30.5576
2879.13,-2879.13,2.87913,-30.4768
2867.95,-2867.95,2.86795,-30.4336
2856.28,-2856.28,2.85628,-30.4556
2847.42,-2847.42,2.84742,-30.5444
2837.09,-2837.09,2.83709,-30.55
2826.89,-2826.89,2.82689,-30.5648
2816.16,-2816.16,2.81616,-30.6324
2805.21,-2805.21,2.80521,-30.6812
2794.7,-2794.7,2.7947,-30.7616
2783.87,-2783.87,2.78387,-30.8692
2771.79,-2771.79,2.77179,-30.9504
2758.7,-2758.7,2.7587,-30.9428
2747.92,-2747.92,2.74792,-30.9668
2737.76,-2737.76,2.73776,-30.9512
2726.15,-2726.15,2.72615,-30.9
2715.62,-2715.62,2.71562,-30.8152
2704.38,-2704.38,2.70438,-30.6768
2693.78,-2693.78,2.69378,-30.5832
2682.8,-2682.8,2.6828,-30.4736
2672.43,-2672.43,2.67243,-30.5204
2661.91,-2661.91,2.66191,-30.716
2651.62,-2651.62,2.65162,-30.7888
2641.07,-2641.07,2.64107,-30.7968
2630.55,-2630.55,2.63055,-30.7356
2619.46,-2619.46,2.61946,-30.7372
2608.55,-2608.55,2.60855,-30.8228
2597.45,-2597.45,2.59745,-30.8524
2586.38,-2586.38,2.58638,-30.8808
2574.83,-2574.83,2.57483,-30.894
2564.17,-2564.17,2.56417,-30.8272
2553.75,-2553.75,2.55375,-30.7632
2541.44,-2541.44,2.54144,-30.708
2530.11,-2530.11,2.53011,-30.534
2521.09,-2521.09,2.52109,-30.356
2510.66,-2510.66,2.51066,-30.3288
2499.88,-2499.88,2.49988,-30.3548
2478.1,-2478.1,2.4781,-30.3908
2478.1,-2478.1,2.4781,-30.3904
2467.62,-2467.62,2.46762,-30.3972
2457.24,-2457.24,2.45724,-30.3252
2441.8,-2441.8,2.4418,-30.296
2434.01,-2434.01,2.43401,-30.3168
2426.53,-2426.53,2.42653,-30.3708
2413.46,-2413.46,2.41346,-30.468
2405.58,-2405.58,2.40558,-30.5296
2394.24,-2394.24,2.39424,-30.4764
2372.52,-2372.52,2.37252,-30.1732
2372.52,-2372.52,2.37252,-30.2732
2364.83,-2364.83,2.36483,-30.1556
2354.5,-2354.5,2.3545,-30.1232
2354.5,-2354.5,2.3545,-30.0996
2333.94,-2333.94,2.33394,-30.0964
2323.76,-2323.76,2.32376,-30.1432
2313.78,-2313.78,2.31378,-30.3012
2303.03,-2303.03,2.30303,-30.4748
2292.93,-2292.93,2.29293,-30.682
2292.93,-2292.93,2.29293,-30.608
2272.97,-2272.97,2.27297,-30.7688
2263.02,-2263.02,2.26302,-30.6676
2252.95,-2252.95,2.25295,-30.5556
2242.9,-2242.9,2.2429,-30.584
2233.14,-2233.14,2.23314,-30.5716
2222.78,-2222.78,2.22278,-30.3908
2212.42,-2212.42,2.21242,-30.2
2202.31,-2202.31,2.20231,-30.0324
2192.24,-2192.24,2.19224,-29.99
2181.81,-2181.81,2.18181,-29.984
2170.28,-2170.28,2.17028,-30.024
2159.4,-2159.4,2.1594,-30.116
2149.19,-2149.19,2.14919,-30.1064
2139.09,-2139.09,2.13909,-30.016
2127.76,-2127.76,2.12776,-29.8812
2116.16,-2116.16,2.11616,-29.8368
2108.36,-2108.36,2.10836,-29.7792
2099.3,-2099.3,2.0993,-29.7492
2088.46,-2088.46,2.08846,-29.6832
2078.94,-2078.94,2.07894,-29.6412
2068.24,-2068.24,2.06824,-29.5708
2057.1,-2057.1,2.0571,-29.6404
2046.14,-2046.14,2.04614,-29.8372
2046.14,-2046.14,2.04614,-29.7996
2033.56,-2033.56,2.03356,-29.8748
2019.23,-2019.23,2.01923,-29.8624
2016.53,-2016.53,2.01653,-29.9572
2006.87,-2006.87,2.00687,-30.1052
1997.41,-1997.41,1.99741,-30.21
1987.76,-1987.76,1.98776,-30.23
1977.99,-1977.99,1.97799,-30.2448
1968.49,-1968.49,1.96849,-30.2532
1958.56,-1958.56,1.95856,-30.308
1946.08,-1946.08,1.94608,-30.312
1940.26,-1940.26,1.94026,-30.4624
1931.07,-1931.07,1.93107,-30.5908
1922.03,-1922.03,1.92203,-30.8292
1912.45,-1912.45,1.91245,-30.9324
1901.98,-1901.98,1.90198,-31.0352
1892.14,-1892.14,1.89214,-31.1048
1881.88,-1881.88,1.88188,-31.1904
1871.47,-1871.47,1.87147,-31.2044
1862.51,-1862.51,1.86251,-31.2244
1842.87,-1842.87,1.84287,-31.1384
1833.3,-1833.3,1.8333,-31.0452
1823.15,-1823.15,1.82315,-31.0444
1811.42,-1811.42,1.81142,-31.0492
1800.35,-1800.35,1.80035,-30.9844
1789.71,-1789.71,1.78971,-30.9284
1780.29,-1780.29,1.78029,-30.9572
1769.2,-1769.2,1.7692,-31.0356
1759.46,-1759.46,1.75946,-31.062
1749.62,-1749.62,1.74962,-31.06
1739.28,-1739.28,1.73928,-31.0952
1728.94,-1728.94,1.72894,-31.038
1718.93,-1718.93,1.71893,-31.1236
1709.41,-1709.41,1.70941,-31.0372
1699.48,-1699.48,1.69948,-31.0616
1688.81,-1688.81,1.68881,-30.9292
1688.81,-1688.81,1.68881,-31.054
1678.68,-1678.68,1.67868,-30.784
1668.52,-1668.52,1.66852,-30.6744
1659.27,-1659.27,1.65927,-30.6032
1649.24,-1649.24,1.64924,-30.548
1639.27,-1639.27,1.63927,-30.5144
1620.76,-1620.76,1.62076,-30.4744
1615.43,-1615.43,1.61543,-30.6036
1610.08,-1610.08,1.61008,-30.6912
1586.1,-1586.1,1.5861,-30.8248
1586.1,-1586.1,1.5861,-30.8028
1581.2,-1581.2,1.5812,-30.8528
1570.94,-1570.94,1.57094,-30.8684
1561.5,-1561.5,1.5615,-30.8536
1514.86,-1514.86,1.51486,-30.406
1505.24,-1505.24,1.50524,-30.6132
1495.5,-1495.5,1.4955,-30.8616
1484.54,-1484.54,1.48454,-30.972
1474.77,-1474.77,1.47477,-31.0504
1465.24,-1465.24,1.46524,-31.1224
